微博id,微博正文,发布时间,点赞数,转发数,评论数,热度值,关键短语
Ki1FXrQUd,【速看！#三孩政策配套支持措施来了#】中共中央政治局5月31日召开会议，会议指出，进一步优化生育政策，实施一对夫妻可以生育三个子女政策及配套支持措施。 教育、休假、保险、税收、住房、女性就业…你关心的#10个三孩政策配套支持措施#，戳↓↓  [组图共10张] 原图 ,2021-05-31,172167,24301,36271,31.874629001228236,政策配套#SPLIT#中共中央政治局召开#SPLIT#措施中共中央政治局#SPLIT#休假保险#SPLIT#关心孩
KgQWjkqwJ,【今天，一起#送别袁老#】24日上午，#袁隆平院士遗体送别#仪式在长沙举行。转发微博，点亮水稻标记，一起送袁老最后一程：您的禾下乘凉梦，我们会接续努力！先生千古！  原图 ,2021-05-24,257311,266275,47447,34.872395441772014,一程禾下#SPLIT#乘凉梦#SPLIT#水稻标记#SPLIT#点亮水稻#SPLIT#禾下乘凉
KgNaNlnds,【#大连轿车撞人逃逸肇事者系报复社会#】据大连发布，5月23日，大连市人民政府新闻办公室举行发布会通报大连“5·22”轿车撞人逃逸案件有关情况。大连市公安局副局长曲波通报称，5月22日，犯罪嫌疑人刘某因投资失败无法接受，失去生活信心，遂产生报复社会心理。11时40分许，刘某驾车沿唐山街行驶至五惠路路口时，在等候绿灯指示后突然在7秒钟内将所驾车辆车速从0时速加速至108公里/小时（该路段限速60公里/小时），并冲闯红灯，以驾车冲撞路人的极端方式实施犯罪，造成5死5伤。 原图 ,2021-05-23,1412468,42654,44002,33.77934431536387,报复社会#SPLIT#撞人逃逸#SPLIT#公里/小时路段#SPLIT#冲撞路人#SPLIT#刘某投资
KgFYFgaIw,【一日痛别，双星陨落！#袁隆平吴孟超为什么值得我们铭记#】5月22日，#共和国一天痛失两位院士#。我们会永远记住你们，最闪亮的星！  原图 ,2021-05-22,209841,66832,10658,31.14824714933406,共和国痛失#SPLIT#双星陨落#SPLIT#吴孟超值得#SPLIT#痛失院士#SPLIT#袁隆平吴孟超
KgFLHuFdl,【#国士无双#，送别袁老】“#我好像和他有一面之缘#，在课本上，在饭桌上，在人间里。”今天，“杂交水稻之父”袁隆平逝世，一起送送袁老，一路走好！#共和国一天痛失两位院士#  原图 ,2021-05-22,294865,34139,8062,30.22792460579437,一起送送#SPLIT#之父袁隆平#SPLIT#共和国痛失#SPLIT#好像一面之缘#SPLIT#杂交水稻
KgFay5Tcb,【#市民围着袁隆平灵车失声痛哭#】5月22日，袁隆平院士的灵车开进湖南杂交水稻研究中心，不少市民自发前来送别，许多人围着灵车失声痛哭↓↓#共和国一天痛失两位院士#人民日报的微博视频  ,2021-05-22,718935,17290,11012,30.460952732264182,灵车失声痛哭#SPLIT#共和国痛失#SPLIT#前来送别#SPLIT#围着灵车#SPLIT#围着袁隆平
KgEXW0jT5,【#长沙市民鸣笛送别袁隆平#】5月22日，湖南长沙。袁隆平院士灵车经过之处，车辆鸣笛送别。#民众高喊袁爷爷一路走好#人民日报的微博视频  ,2021-05-22,627883,57881,16437,32.20224360196774,鸣笛送别#SPLIT#袁隆平院士#SPLIT#送别袁隆平#SPLIT#院士灵车#SPLIT#高喊袁
KgEP22EH0,【#民众高喊袁爷爷一路走好#】5月22日，湖南长沙，#市民夹道送别袁隆平院士灵车#，高声齐喊“袁爷爷，一路走好”。  人民日报的微博视频  ,2021-05-22,813128,72205,40419,33.90222093412242,袁爷爷#SPLIT#夹道送别#SPLIT#市民夹道#SPLIT#袁隆平院士#SPLIT#送别袁隆平
KgExVrTbm,【双星陨落！#共和国一天痛失两位院士#】5月22日13时02分，“中国肝胆外科之父”吴孟超逝世，享年99岁。5月22日13时07分，“杂交水稻之父”袁隆平逝世，享年91岁。#愿世间如你们所愿医食无忧#，送别！  原图 ,2021-05-22,3487196,1135180,150956,39.361732537903976,世间所愿#SPLIT#之父吴孟超#SPLIT#之父袁隆平#SPLIT#共和国痛失#SPLIT#双星陨落
KgEcoawuu,“他进入了一个梦乡，那里的稻穗比高粱还高，穗粒比花生还大。风轻轻吹过，他戴着草帽，就坐在稻穗下乘凉。”#网友集体悼念袁隆平#  [组图共9张] 原图 ,2021-05-22,237829,47763,8590,30.55138883646823,就坐稻穗#SPLIT#悼念袁隆平#SPLIT#戴着草帽#SPLIT#稻穗乘凉#SPLIT#稻穗高粱
KgEaojy28,【#吴孟超逝世# 享年99岁】据新华社，中科院院士、“中国肝胆外科之父”吴孟超22日去世，享年99岁。吴孟超治病救人78载，九旬高龄依然坚守在门诊、手术室和病人的病床前。吴孟超2005年获国家最高科学技术奖，是我国肝胆外科开拓者和创始人。吴老，走好！#共和国一天痛失两位院士#  原图 ,2021-05-22,866338,166029,47127,34.99687343165983,之父吴孟超#SPLIT#共和国痛失#SPLIT#吴孟超去世#SPLIT#吴孟超获#SPLIT#吴孟超载
KgDsWEnTc,【#袁隆平院士逝世#】“杂交水稻之父”、中国工程院院士、“共和国勋章”获得者袁隆平，5月22日13点07分在湖南长沙逝世，享年91岁。袁老，走好！  原图 ,2021-05-22,1253086,2953043,190866,40.15790558722506,中国工程院院士#SPLIT#之父中国工程院#SPLIT#共和国勋章#SPLIT#分在湖南#SPLIT#勋章获得者
KgCHDjAcV,【多方证实：#袁隆平去世消息不实#】5月22日上午，人民日报记者从湖南省委宣传部、中国工程院和袁隆平院士秘书等多个渠道证实，网上关于袁隆平逝世的消息不实，袁隆平院士目前在医院接受治疗。（人民日报记者何勇、孙超、谷业凯）  原图 ,2021-05-22,369974,21292,27866,31.729526724654868,消息不实#SPLIT#袁隆平院士#SPLIT#人民日报记者#SPLIT#中国工程院袁隆平#SPLIT#何勇孙超
Kg1HDzEHZ,【送别！#22岁辅警被拖行1600多米牺牲#】5月11日，云南师宗县大同派出所辅警赵志开展安全检查时，被未取得机动车驾驶资格的金某才拖行1600多米因公牺牲，年仅22岁。鞋子脱落、手机被压粉碎，赵志手上仍握着警务通。目前，犯罪嫌疑人已投案自首，案件正在办理中。走好！（人民日报记者杨文明）http://t.cn/A6Vb0C1R ,2021-05-18,1258186,25666,41987,33.14326128925193,云南师宗县#SPLIT#因公牺牲#SPLIT#大同派出所辅警#SPLIT#师宗县大同派出所#SPLIT#手上握着
KfVyHthB8,【#媒体调查揭粉丝团强迫粉丝氪金#：专辑买不够开除“粉籍”】 近日，一项针对1616名青少年开展的追星专项调查显示，#73.4%的青少年指粉丝团强迫粉丝氪金#；63%青少年反感粉丝团互相谩骂、攻击；还有青少年反映被“大粉”要求买够200张偶像专辑，否则直接开除“粉籍”……↓↓粉丝团强迫“氪金”？专辑买不够200张，开除“粉籍”......  原图 ,2021-05-17,1292385,6155,13729,30.05219058325891,粉丝团强迫#SPLIT#开除粉#SPLIT#粉丝氪#SPLIT#反感粉丝团#SPLIT#强迫氪
KfRbI7ASA,【#人手一只大熊猫是什么体验#】“嘤嘤怪”们集体出动，走过路过不要错过！网友：#四川遍地大熊猫实锤了#↓↓iPanda熊猫频道的微博视频  ,2021-05-17,207379,20769,11520,30.09030908998338,人手大熊猫#SPLIT#遍地大熊猫#SPLIT#锤熊猫#SPLIT#实锤#SPLIT#四川遍地
Kfymtpv1a,【#天问一号着陆后总设计师哭了#】天问一号成功登陆火星，我国首次火星探测任务工程总设计师张荣桥难掩激动，忍不住落泪↓↓向每一位中国航天人致敬！#火星探测任务工程总设计师哭了##祝融#  人民日报的微博视频  ,2021-05-15,600770,62481,23410,32.787060263431194,总设计师哭#SPLIT#工程总设计师#SPLIT#中国航天致敬#SPLIT#哭天问#SPLIT#天问成功
Kfxv7oB06,【转起祝贺！#你好火星中国来了#】5月15日，#天问一号成功着陆#于火星乌托邦平原南部预选着陆区，我国首次火星探测任务着陆火星取得圆满成功。天问一号任务实现了#我国首次地外行星着陆#，是中国航天事业发展中又一具有重大意义的里程碑。（冯华、杨璐、陈刚）  原图 ,2021-05-15,110441,1025465,8049,33.13692164463549,着陆火星#SPLIT#中国航天事业#SPLIT#乌托邦平原#SPLIT#具有重大意义#SPLIT#冯华杨璐
KfdRiD4Em,【#监控还原成都49中学生坠亡前轨迹#】5月9日傍晚，在成都49中就读的高二学生小林（化名）坠楼身亡。根据成都成华警方的有关通报，小林系高坠死亡，排除刑事案件。5月13日，根据警方提供的学校监控设备拍摄到的内容以及通报信息，视频还原小林走出教室后，到坠亡之间的活动轨迹。（川观新闻）  http://t.cn/A6VwXbQT ,2021-05-13,2567598,107102,118160,36.48049222712897,中学生坠亡#SPLIT#学生小林#SPLIT#小林化名#SPLIT#小林系#SPLIT#小林走出
